countrycode,country,rgdpe_2013,rgdpo_2013,pop_2013,emp_2013,avh_2013,rgdpe_2014,rgdpo_2014,pop_2014,emp_2014,avh_2014
CHN,China,15904816,15878105,1362.51426,793.0222778,,17080304,17135952,1369.43567,798.3677979,
USA,United States,16274530,16183547,317.135919,146.210968,1758.692633,16704698,16598099,319.448634,148.4633942,1764.596955
IND,India,6355420.5,6585998,1279.498874,501.3150024,2162.303374,6766623,7061826,1295.291543,510.2787781,2162.303374
JPN,Japan,4497593.5,4504977.5,126.984964,64.60459137,1734,4483260.5,4509603,126.794564,64.98536682,1729
DEU,Germany,3586991.5,3597396.5,80.565861,41.97806549,1362.503252,3706587.25,3750589,80.646262,42.45352936,1371.100896
RUS,Russian Federation,3399175.25,3477969.5,143.367341,71.6978302,1980,3447919.25,3450307.75,143.429435,71.89483643,1985
BRA,Brazil,3080763.5,3060899.25,204.25938,105.9664078,1711.283218,3064498.75,3052319,206.0779,105.9086151,1711.283218
FRA,France,2584486.75,2515464,65.807241,27.17827415,1474.31702,2602646.25,2550435,66.100168,27.25352859,1473.458465
GBR,United Kingdom,2500343.75,2437409,63.955654,30.26261711,1668.163312,2588790.5,2493278.5,64.331348,30.96204567,1675.109527
IDN,Indonesia,2375227,2382738.5,251.268276,115.685791,2026.500032,2469896.25,2493045.5,254.454778,113.023941,2026.500032
ITA,Italy,2148611.5,2100516,59.771094,23.63549805,1732.907938,2140824.25,2111945.75,59.788667,23.58444405,1733.915837
MEX,Mexico,1923613.125,1906050.25,123.740109,51.16930008,2132.91491,1987687.875,1945966.25,125.385833,51.41257477,2136.773293
KOR,Republic of Korea,1700907.25,1663808.125,49.846756,25.52310371,2079.216966,1757809.625,1750372.25,50.074401,26.13966751,2123.995094
ESP,Spain,1533107.625,1481810.125,46.455163,17.60098076,1699.232608,1566549.125,1520006.125,46.259716,17.61268806,1688.794201
CAN,Canada,1478438.625,1493623.5,35.230612,18.66564941,1682.735726,1507209,1543374.375,35.587793,18.8280735,1687.784191
TUR,Turkey,1433376.125,1456237.375,76.223639,24.12346458,1832,1491256.625,1525255.125,77.523788,24.6474762,1832
SAU,Saudi Arabia,1520316.75,1506471.25,30.201051,11.06577206,,1483327.5,1487960.125,30.886545,11.46188354,
IRN,Iran,1235219.75,1232941.5,77.152445,23.03002548,,1214932.75,1218374.25,78.143644,23.41313553,
TWN,Taiwan,989139.5625,920766,23.34467,11.04603577,2112.240585,1038770.813,973046,23.434,11.17216396,2122.980792
AUS,Australia,1006175.563,1034652.563,23.270465,11.79441357,1801.656065,1017429.375,1045083.125,23.622353,11.96683979,1803.061273
NGA,Nigeria,931191.0625,941765.75,172.816517,55.25115585,,976292.625,989291.5,177.475986,56.82106781,
POL,Poland,944037.625,914200.5,38.618698,15.55842972,2034.754588,971524.875,944258.25,38.619974,15.83779049,2039.281806
THA,Thailand,946761.9375,943267.8125,67.451422,39.72321701,2284.376803,945941.5,929554.5625,67.725979,38.89330673,2284.376803
EGY,Egypt,867053.6875,944308.625,87.613909,27.37201691,,887628.25,968572.25,89.57967,27.89933777,
ARG,Argentina,875387.3125,868237.125,42.538304,18.25721359,1776.659283,869134.75,862902.375,42.980026,18.09844971,1776.659283
PAK,Pakistan,807264.625,834894.375,181.192646,53.76682281,2282.604464,859643.6875,889715.1875,185.044286,55.48697281,2282.604464
NLD,Netherlands,791584.6875,819967.4375,16.809157,8.764556885,1414.656728,796837.125,812675.375,16.86802,8.742557526,1419.590113
MYS,Malaysia,656012.1875,632359.5625,29.465372,13.41866016,2267.597615,692472.0625,647370.5625,29.901997,13.76861,2267.597615
PHL,Philippines,626193.5625,627924.5,97.571676,35.05064774,2115.292277,660118.8125,658117,99.13869,34.94642639,2115.292277
